"Date Printed: Sunday, March 16, 2025 10:32:39 PM"
Title: "AIDS deaths | AIDS prevalence | HIV Stigma | HIV deaths | HIV diagnoses | HIV prevalence | Linkage to HIV care | PrEP coverage and number of persons prescribed | Receipt of HIV medical care | Unstable Housing or Homelessness | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Deaths in 2020 and beyond should be interpreted considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   Prevalence data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   Linkage to care is based on cases diagnosed during the year queried.
   Receipt of care is based on persons living with diagnosed HIV at the end of the year queried.PrEP coverage͵ reported as a percentage͵ is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP. To allow for comparison with other HIV indicators͵ data are presented for ≥13‒ and 13‒24-year-olds͵ but represent ≥16‒ and 16‒24-years-olds͵ respectively. CDC has paused PrEP coverage reporting to determine the best methodology for calculating PrEP coverage͵ and to update PrEP coverage estimates using updated methods and sources. Until updated PrEP coverage estimates are published͵ CDC advises against citing specific PrEP coverage data points͵ as historical estimates will be updated.
   Weighted percentages for unstable housing or homelessness and median HIV stigma scores are reported in the ‘Rate per 100͵000’ column with corresponding 95% confidence intervals reported in the ‘Rate LCI’ and ‘Rate UCI’ columns within the Charts and Maps tools or in parentheses within the ‘Rate per 100͵000’ column within the Tables tool.
   To allow for comparison with other HIV indicators͵ data are presented for persons aged ≥13 years and aged 13-24 years. However͵ these estimates are representative of persons with diagnosed HIV aged ≥18 years and 18-24 years͵ respectively. 
   For unstable housing or homelessness͵ estimates with a coefficient of variation ≥0.30 or those based on a denominator sample size less than 30 were suppressed. For HIV stigma͵ estimates based on a denominator sample size less than 30 were suppressed.
   See Technical Notes for more details on data availability͵ stratifications͵ and variable definitions.
   * Estimates with an absolute CI width ≥30͵ estimates with an absolute CI width between 5 and 30 and a relative CI width greater than 130%͵ and estimates of 0% or 100% should be interpreted with caution.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000 (95% CI),Percent
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Kansas","20","944","NA","18.7"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Kansas","20","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Kentucky","21","1,663","NA","12.8"
"HIV prevalence","2020 (COVID-19 Pandemic)","Kentucky","21","7,757","204.7","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Kentucky","21","3,593","94.8","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Kentucky","21","117","3.1","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Kentucky","21","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Kentucky","21","158","4.2","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Kentucky","21","301","7.9","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Kentucky","21","Data not available","NA","Data not available"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Kentucky","21","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Kentucky","21","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Louisiana","22","15,905","NA","76.9"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Louisiana","22","3,567","NA","22.4"
"HIV prevalence","2020 (COVID-19 Pandemic)","Louisiana","22","21,219","547.7","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Louisiana","22","10,603","273.7","NA"
"Receipt of HIV medical care","2021","Louisiana","22","16,273","NA","78.6"
"PrEP coverage and number of persons prescribed","2021","Louisiana","22","4,145","NA","26.0"
"HIV prevalence","2021","Louisiana","22","21,455","555.3","NA"
"AIDS prevalence","2021","Louisiana","22","10,633","275.2","NA"
"AIDS deaths","2021","Louisiana","22","365","9.4","NA"
"HIV Stigma","2021","Louisiana","22","Data not available","Data not available","NA"
"HIV deaths","2021","Louisiana","22","509","13.2","NA"
"HIV diagnoses","2021","Louisiana","22","896","23.2","NA"
"Linkage to HIV care","2021","Louisiana","22","725","NA","80.6"
"Unstable Housing or Homelessness","2021","Louisiana","22","Data not available","Data not available","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Louisiana","22","340","8.8","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Louisiana","22","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Louisiana","22","467","12.1","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Louisiana","22","710","18.3","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Louisiana","22","549","NA","76.0"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Louisiana","22","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Maine","23","1,351","NA","82.6"
"HIV prevalence","2020 (COVID-19 Pandemic)","Maine","23","1,647","138.5","NA"
"Receipt of HIV medical care","2021","Maine","23","1,360","NA","82.4"
"HIV prevalence","2021","Maine","23","1,691","140.3","NA"
"AIDS deaths","2021","Maine","23","31","2.6","NA"
"AIDS prevalence","2021","Maine","23","841","69.8","NA"
"HIV Stigma","2021","Maine","23","Data not available","Data not available","NA"
"HIV deaths","2021","Maine","23","44","3.7","NA"
"HIV diagnoses","2021","Maine","23","31","2.6","NA"
"Linkage to HIV care","2021","Maine","23","27","NA","87.1"
"PrEP coverage and number of persons prescribed","2021","Maine","23","905","NA","22.9"
"Unstable Housing or Homelessness","2021","Maine","23","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Maryland","24","23,559","NA","72.0"
"PrEP coverage and number of persons prescribed","2021","Maryland","24","5,792","NA","21.2"
"HIV prevalence","2021","Maryland","24","33,543","642.9","NA"
"AIDS prevalence","2021","Maryland","24","17,168","329.0","NA"
"AIDS deaths","2021","Maryland","24","518","9.9","NA"
"HIV Stigma","2021","Maryland","24","Data not available","Data not available","NA"
"HIV deaths","2021","Maryland","24","700","13.4","NA"
"HIV diagnoses","2021","Maryland","24","735","14.1","NA"
"Linkage to HIV care","2021","Maryland","24","650","NA","86.8"
"Unstable Housing or Homelessness","2021","Maryland","24","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Massachusetts","25","15,742","NA","76.2"
"PrEP coverage and number of persons prescribed","2021","Massachusetts","25","10,156","NA","40.8"
"HIV prevalence","2021","Massachusetts","25","21,113","349.0","NA"
"AIDS prevalence","2021","Massachusetts","25","11,015","182.1","NA"
"AIDS deaths","2021","Massachusetts","25","243","4.0","NA"
"HIV Stigma","2021","Massachusetts","25","Data not available","Data not available","NA"
"HIV deaths","2021","Massachusetts","25","344","5.7","NA"
"HIV diagnoses","2021","Massachusetts","25","444","7.3","NA"
"Linkage to HIV care","2021","Massachusetts","25","403","NA","91.6"
"Unstable Housing or Homelessness","2021","Massachusetts","25","Data not available","Data not available","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Maine","23","19","1.6","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Maine","23","817","68.7","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Maine","23","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Maine","23","25","2.1","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Maine","23","15","1.3","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Maine","23","15","NA","93.8"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Maine","23","665","NA","16.8"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Maine","23","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Maryland","24","22,914","NA","70.0"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Maryland","24","4,808","NA","17.6"
"HIV prevalence","2020 (COVID-19 Pandemic)","Maryland","24","33,443","643.0","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Maryland","24","17,286","332.3","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Maryland","24","496","9.5","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Maryland","24","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Maryland","24","656","12.6","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Maryland","24","708","13.6","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Maryland","24","617","NA","87.4"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Maryland","24","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Massachusetts","25","15,169","NA","73.6"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Massachusetts","25","9,398","NA","37.7"
"HIV prevalence","2020 (COVID-19 Pandemic)","Massachusetts","25","20,975","347.4","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Massachusetts","25","11,078","183.5","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Massachusetts","25","234","3.9","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Massachusetts","25","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Massachusetts","25","313","5.2","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Massachusetts","25","428","7.1","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Massachusetts","25","382","NA","88.0"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Massachusetts","25","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Michigan","26","12,820","NA","78.4"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Michigan","26","4,618","NA","15.6"
"HIV prevalence","2020 (COVID-19 Pandemic)","Michigan","26","16,807","196.3","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Michigan","26","8,215","96.0","NA"
"Receipt of HIV medical care","2021","Michigan","26","13,486","NA","81.0"
"PrEP coverage and number of persons prescribed","2021","Michigan","26","5,852","NA","19.8"
"HIV prevalence","2021","Michigan","26","17,253","201.8","NA"
"AIDS prevalence","2021","Michigan","26","8,278","96.8","NA"
"AIDS deaths","2021","Michigan","26","246","2.9","NA"
"HIV Stigma","2021","Michigan","26","No Suppression","37.2 (32.9 - 41.6)","NA"
"HIV deaths","2021","Michigan","26","334","3.9","NA"
"HIV diagnoses","2021","Michigan","26","641","7.5","NA"
"Linkage to HIV care","2021","Michigan","26","547","NA","86.4"
"Unstable Housing or Homelessness","2021","Michigan","26","No Suppression","23.1 (14.3 - 31.8)","NA"
"Receipt of HIV medical care","2021","Minnesota","27","6,531","NA","73.3"
"PrEP coverage and number of persons prescribed","2021","Minnesota","27","5,251","NA","24.2"
"HIV prevalence","2021","Minnesota","27","9,191","191.7","NA"
"AIDS prevalence","2021","Minnesota","27","4,039","84.3","NA"
"AIDS deaths","2021","Minnesota","27","68","1.4","NA"
"HIV Stigma","2021","Minnesota","27","Data not available","Data not available","NA"
"HIV deaths","2021","Minnesota","27","109","2.3","NA"
"HIV diagnoses","2021","Minnesota","27","296","6.2","NA"
"Linkage to HIV care","2021","Minnesota","27","254","NA","85.5"
"Unstable Housing or Homelessness","2021","Minnesota","27","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Mississippi","28","6,727","NA","71.0"
"PrEP coverage and number of persons prescribed","2021","Mississippi","28","1,591","NA","35.1"
"HIV Stigma","2021","Mississippi","28","No Suppression","27.9 (23.0 - 32.8)","NA"
"HIV diagnoses","2021","Mississippi","28","427","17.3","NA"
"Linkage to HIV care","2021","Mississippi","28","299","NA","71.4"
"Unstable Housing or Homelessness","2021","Mississippi","28","No Suppression","21.4 (14.8 - 27.9)","NA"
"HIV prevalence","2021","Mississippi^","28","9,804","396.2","NA"
"AIDS prevalence","2021","Mississippi^","28","4,663","188.5","NA"
"AIDS deaths","2021","Mississippi^","28","144","5.8","NA"
"HIV deaths","2021","Mississippi^","28","204","8.2","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Michigan","26","261","3.0","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Michigan","26","No Suppression","29.3 (26.0 - 32.6)","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Michigan","26","352","4.1","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Michigan","26","519","6.1","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Michigan","26","438","NA","84.4"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Michigan","26","No Suppression","23.3 (16.7 - 29.9)","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Minnesota","27","6,494","NA","74.0"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Minnesota","27","4,201","NA","19.3"
"HIV prevalence","2020 (COVID-19 Pandemic)","Minnesota","27","8,969","187.7","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Minnesota","27","3,980","83.3","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Minnesota","27","69","1.4","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Minnesota","27","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Minnesota","27","96","2.0","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Minnesota","27","231","4.8","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Minnesota","27","206","NA","90.0"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Minnesota","27","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Mississippi","28","6,594","NA","70.7"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Mississippi","28","1,091","NA","24.1"
"HIV Stigma","2020 (COVID-19 Pandemic)","Mississippi","28","No Suppression","29.3 (24.0 - 34.7)","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Mississippi","28","405","16.4","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Mississippi","28","294","NA","73.1"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Mississippi","28","No Suppression","16.3 (7.7 - 24.9)","NA"
"HIV prevalence","2020 (COVID-19 Pandemic)","Mississippi^","28","9,614","388.7","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Mississippi^","28","4,624","186.9","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Mississippi^","28","172","7.0","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Mississippi^","28","243","9.8","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Missouri","29","9,497","NA","75.9"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Missouri","29","3,566","NA","19.4"
"HIV prevalence","2020 (COVID-19 Pandemic)","Missouri","29","12,788","246.9","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Missouri","29","6,336","122.3","NA"
"Receipt of HIV medical care","2021","Missouri","29","9,697","NA","77.1"
"PrEP coverage and number of persons prescribed","2021","Missouri","29","4,163","NA","22.7"
"HIV prevalence","2021","Missouri","29","13,010","249.9","NA"
"AIDS prevalence","2021","Missouri","29","6,328","121.6","NA"
"AIDS deaths","2021","Missouri","29","213","4.1","NA"
"HIV Stigma","2021","Missouri","29","Data not available","Data not available","NA"
"HIV deaths","2021","Missouri","29","284","5.5","NA"
"HIV diagnoses","2021","Missouri","29","547","10.5","NA"
"Linkage to HIV care","2021","Missouri","29","427","NA","77.8"
"Unstable Housing or Homelessness","2021","Missouri","29","Data not available","Data not available","NA"
"AIDS deaths","2021","Montana","30","8","0.8","NA"
"AIDS prevalence","2021","Montana","30","362","38.4","NA"
"HIV Stigma","2021","Montana","30","Data not available","Data not available","NA"
"HIV deaths","2021","Montana","30","13","1.4","NA"
"HIV diagnoses","2021","Montana","30","22","2.3","NA"
"HIV prevalence","2021","Montana","30","717","76.1","NA"
"Linkage to HIV care","2021","Montana","30","21","NA","95.5"
"PrEP coverage and number of persons prescribed","2021","Montana","30","392","NA","17.1"
"Receipt of HIV medical care","2021","Montana","30","614","NA","88.0"
"Unstable Housing or Homelessness","2021","Montana","30","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Nebraska","31","1,751","NA","77.0"
"HIV prevalence","2021","Nebraska","31","2,363","145.6","NA"
"AIDS prevalence","2021","Nebraska","31","1,128","69.5","NA"
"AIDS deaths","2021","Nebraska","31","31","1.9","NA"
"HIV Stigma","2021","Nebraska","31","Data not available","Data not available","NA"
"HIV deaths","2021","Nebraska","31","40","2.5","NA"
"HIV diagnoses","2021","Nebraska","31","105","6.5","NA"
"Linkage to HIV care","2021","Nebraska","31","88","NA","83.8"
"PrEP coverage and number of persons prescribed","2021","Nebraska","31","991","NA","45.5"
"Unstable Housing or Homelessness","2021","Nebraska","31","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Nevada","32","8,033","NA","73.6"
"PrEP coverage and number of persons prescribed","2021","Nevada","32","4,882","NA","42.9"
"HIV prevalence","2021","Nevada","32","11,366","427.2","NA"
"AIDS prevalence","2021","Nevada","32","5,111","192.1","NA"
"AIDS deaths","2021","Nevada","32","166","6.2","NA"
"HIV Stigma","2021","Nevada","32","Data not available","Data not available","NA"
"HIV deaths","2021","Nevada","32","210","7.9","NA"
"HIV diagnoses","2021","Nevada","32","502","18.9","NA"
"Linkage to HIV care","2021","Nevada","32","439","NA","87.6"
"Unstable Housing or Homelessness","2021","Nevada","32","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","New Hampshire","33","1,076","NA","80.7"
"HIV prevalence","2021","New Hampshire","33","1,362","112.3","NA"
"AIDS deaths","2021","New Hampshire","33","15","1.2","NA"
"AIDS prevalence","2021","New Hampshire","33","649","53.5","NA"
"HIV Stigma","2021","New Hampshire","33","Data not available","Data not available","NA"
"HIV deaths","2021","New Hampshire","33","22","1.8","NA"
"HIV diagnoses","2021","New Hampshire","33","32","2.6","NA"
"Linkage to HIV care","2021","New Hampshire","33","32","NA","100.0"
"PrEP coverage and number of persons prescribed","2021","New Hampshire","33","799","NA","26.5"
"Unstable Housing or Homelessness","2021","New Hampshire","33","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","New Jersey","34","7,294","NA","28.9"
"HIV prevalence","2021","New Jersey","34","34,849","443.3","NA"
"HIV diagnoses","2021","New Jersey","34","1,032","13.1","NA"
"AIDS prevalence","2021","New Jersey","34","17,184","218.6","NA"
"AIDS deaths","2021","New Jersey","34","554","7.0","NA"
"HIV Stigma","2021","New Jersey","34","No Suppression","31.6 (28.5 - 34.6)","NA"
"HIV deaths","2021","New Jersey","34","745","9.5","NA"
"Linkage to HIV care","2021","New Jersey","34","Data not available","NA","Data not available"
"Receipt of HIV medical care","2021","New Jersey","34","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2021","New Jersey","34","No Suppression","12.5 (6.6 - 18.3)","NA"
"Receipt of HIV medical care","2021","New Mexico","35","2,957","NA","76.3"
"PrEP coverage and number of persons prescribed","2021","New Mexico","35","1,596","NA","23.5"
"HIV prevalence","2021","New Mexico","35","4,004","223.3","NA"
"AIDS prevalence","2021","New Mexico","35","2,007","111.9","NA"
"AIDS deaths","2021","New Mexico","35","56","3.1","NA"
"HIV Stigma","2021","New Mexico","35","Data not available","Data not available","NA"
"HIV deaths","2021","New Mexico","35","83","4.6","NA"
"HIV diagnoses","2021","New Mexico","35","150","8.4","NA"
"Linkage to HIV care","2021","New Mexico","35","127","NA","85.2"
"Unstable Housing or Homelessness","2021","New Mexico","35","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","New York","36","89,211","NA","72.9"
"PrEP coverage and number of persons prescribed","2021","New York","36","39,350","NA","54.2"
"Linkage to HIV care","2021","New York","36","1,814","NA","85.7"
"HIV prevalence","2021","New York","36","124,060","731.5","NA"
"HIV diagnoses","2021","New York","36","2,117","12.5","NA"
"HIV deaths","2021","New York","36","2,209","13.0","NA"
"AIDS prevalence","2021","New York","36","68,509","403.9","NA"
"AIDS deaths","2021","New York","36","1,766","10.4","NA"
"HIV Stigma","2021","New York","36","No Suppression","28.5 (25.8 - 31.3)","NA"
"Unstable Housing or Homelessness","2021","New York","36","No Suppression","12.7 (8.7 - 16.7)","NA"
"Receipt of HIV medical care","2021","North Carolina","37","25,496","NA","77.4"
"PrEP coverage and number of persons prescribed","2021","North Carolina","37","7,936","NA","24.4"
"Linkage to HIV care","2021","North Carolina","37","1,115","NA","80.2"
"HIV prevalence","2021","North Carolina","37","34,211","381.4","NA"
"HIV diagnoses","2021","North Carolina","37","1,389","15.5","NA"
"AIDS prevalence","2021","North Carolina","37","14,889","166.0","NA"
"AIDS deaths","2021","North Carolina","37","453","5.1","NA"
"HIV Stigma","2021","North Carolina","37","No Suppression","27.6 (23.8 - 31.4)","NA"
"HIV deaths","2021","North Carolina","37","670","7.5","NA"
"Unstable Housing or Homelessness","2021","North Carolina","37","No Suppression","21.7 (14.8 - 28.5)","NA"
"AIDS deaths","2021","North Dakota","38","7","1.1","NA"
"AIDS prevalence","2021","North Dakota","38","229","35.5","NA"
"HIV Stigma","2021","North Dakota","38","Data not available","Data not available","NA"
"HIV deaths","2021","North Dakota","38","7","1.1","NA"
"HIV diagnoses","2021","North Dakota","38","38","5.9","NA"
"HIV prevalence","2021","North Dakota","38","534","82.9","NA"
"Linkage to HIV care","2021","North Dakota","38","31","NA","83.8"
"PrEP coverage and number of persons prescribed","2021","North Dakota","38","245","NA","16.1"
"Receipt of HIV medical care","2021","North Dakota","38","402","NA","79.4"
"Unstable Housing or Homelessness","2021","North Dakota","38","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Ohio","39","17,368","NA","74.9"
"PrEP coverage and number of persons prescribed","2021","Ohio","39","8,456","NA","21.0"
"HIV prevalence","2021","Ohio","39","23,979","241.0","NA"
"AIDS prevalence","2021","Ohio","39","11,003","110.6","NA"
"AIDS deaths","2021","Ohio","39","375","3.8","NA"
"HIV Stigma","2021","Ohio","39","Data not available","Data not available","NA"
"HIV deaths","2021","Ohio","39","516","5.2","NA"
"HIV diagnoses","2021","Ohio","39","919","9.2","NA"
"Linkage to HIV care","2021","Ohio","39","757","NA","83.3"
"Unstable Housing or Homelessness","2021","Ohio","39","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Oklahoma","40","4,720","NA","71.7"
"PrEP coverage and number of persons prescribed","2021","Oklahoma","40","2,323","NA","21.1"
